0	 0	 36
0	 0	 14
0	 0	 17
0	 0	 17
0	 0	 16
0	 0	 15
0	 0	 19
0	 0	 13
0	 0	 18
0	 0	 18
0	 0	 14
0	 0	 16
0	 0	 18
0	 0	 16
0	 0	 17
0	 0	 19
0	 0	 13
0	 0	 17
0	 0	 17
0	 0	 14
0	 0	 15
0	 0	 20
0	 0	 14
0	 0	 16
0	 0	 17
0	 0	 17
0	 0	 16
0	 0	 20
0	 0	 17
0	 0	 14
0	 0	 17
0	 0	 15
0	 0	 17
0	 0	 19
4	 53	 74
4	 53	 60
4	 48	 58
4	 46	 54
4	 46	 64
4	 40	 46
4	 37	 54
4	 37	 46
4	 32	 50
4	 29	 49
4	 29	 55
4	 24	 46
4	 21	 55
4	 19	 50
0	 16	 5
0	 16	 16
0	 15	 19
0	 14	 13
0	 13	 16
0	 12	 18
0	 12	 16
0	 12	 16
0	 12	 20
3	 11	 58
3	 11	 52
3	 11	 46
3	 11	 54
3	 11	 62
3	 11	 55
3	 11	 45
3	 11	 55
3	 11	 66
2	 16	 54
2	 20	 64
2	 24	 59
2	 27	 57
2	 27	 49
2	 27	 51
2	 27	 62
2	 27	 56
2	 27	 59
2	 27	 56
2	 27	 46
2	 27	 58
2	 27	 64
2	 27	 63
2	 27	 49
2	 27	 49
2	 27	 51
2	 27	 49
0	 112	 11
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 18
0	 112	 16
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 18
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 15
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 18
0	 112	 16
0	 112	 16
0	 112	 18
0	 112	 15
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 19
0	 112	 14
0	 112	 17
0	 112	 16
0	 112	 18
0	 112	 16
0	 112	 16
0	 112	 18
0	 112	 15
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 18
0	 112	 15
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 18
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 14
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 16
0	 112	 17
0	 112	 17
0	 112	 17
0	 112	 16
0	 112	 17
